ovallcon,count
LOS PREVIOS,4934
HTA,4764
ITU,1802
INFECCION RESPIRATORIA,1751
INSUFICIENCIA RESPIRATORIA AGUDA,1659
PREVIOS,1539
PREVIAS DESCRITAS EN SUS ANTECEDENTES,1508
ICC,1334
DM TIPO 2,1320
INSUFICIENCIA RESPIRATORIA,1208
SE MANTIENEN LOS PREVIOS,1137
INFECCIÓN RESPIRATORIA,1032
INSUFICIENCIA CARDIACA,1024
DETERIORO COGNITIVO,858
EXITUS,809
HERNIA INGUINAL DCHA.,735
INSUFICIENCIA CARDIACA DESCOMPENSADA,707
HERNIA INGUINAL IZQDA.,620
INFECCIÓN RESPIRATORIA DE VÍAS BAJAS,566
ACXFA,537
INFECCION DE ORINA,536
INFECCION URINARIA,527
INSUFICIENCIA RESPIRATORIA CRÓNICA,513
ICC DESCOMPENSADA,490
INSUFICIENCIA RESPIRATORIA AGUDA PARCIAL,452
HIPONATREMIA,440
ERC,420
INSUFICIENCIA CARDIACA CONGESTIVA,407
COXARTROSIS DERECHA,395
ESTREÑIMIENTO,393
I. RENAL,381
HIPERTENSIÓN ARTERIAL,379
EPOC,369
ESTREÑIMIENTO PERTINAZ,356
INFECCIÓN RESPIRATORIA DE VÍAS INFERIORES,344
DISLIPEMIA,342
FA CON ACO,338
INSUFICIENCIA RENAL,331
LOS PREVIOS.,331
DM TIPO II,328
EPOC AGUDIZADO,327
I. CARDIACA,324
HIPERREACTIVIDAD BRONQUIAL,320
DIABETES MELLITUS,318
DM-II,307
INSUFICIENCIA RESPIRATORIA CRÓNICA AGUDIZADA,299
EXITUS LAETALIS,298
INFECCION RESPIRATORIA AGUDA,295
HIPOTIROIDISMO,282
SD. DE DESACONDICIONAMIENTO FISICO,275
TCE,268
COLELITIASIS.,268
ENFERMEDAD RENAL CRÓNICA,266
INFECCIÓN TRACTO URINARIO,252
HIPOXEMIA,251
INFECCIÓN DEL TRACTO URINARIO,251
INFECCIÓN RESPIRATORIA AGUDA,251
DIABETES MELLITUS TIPO II,246
DÉFICIT DE ÁCIDO FÓLICO,245
INSUFICIENCIA CARDIACA CONGESTIVA DESCOMPENSADA,242
COLELITIASIS,238
GASTROENTERITIS AGUDA,235
ÉXITUS,227
COXARTROSIS IZQUIERDA,225
"EPOC, AGUDIZACIÓN",218
DETERIORO BASAL,215
VARICES MID.,212
INSUFICIENCIA RESPIRATORIA PARCIAL,212
HIPONATREMIA LEVE,205
BRONQUITIS AGUDA,202
PSEUDO-OCLUSIÓN INTESTINAL SECUNDARIA A ESTREÑIMIENTO PERTINAZ,202
VARICES MII.,196
DISFAGIA OROFARINGEA,192
ANEMIA,191
HERNIA DE HIATO,190
DETERIORO COGNITIVO SEVERO,188
FIBRILACION AURICULAR,187
DEFICIT DE ACIDO FOLICO,187
AIT,184
INSUFICIENCIA RESPIRATORIA 2RIA,183
GONARTROSIS DERECHA,182
SINDROME CONFUSIONAL AGUDO,180
POLICONTUSIONES,180
SÍNDROME CONFUSIONAL AGUDO,177
GEA,177
HIPERNATREMIA,175
INSUFICIENCIA CARDÍACA,173
SOBREDOSIFICACION DE SINTROM,173
DESHIDRATACIÓN HIPERNATRÉMICA,171
DESHIDRATACION MODERADA,171
INFECCIÓN RESPIRATORIA DE VÍAS BAJAS NO CONDENSANTE,171
INSUFICIENCIA RESPIRATORIA GLOBAL,169
INSUFICIENCIA RENAL AGUDA,169
EXITUS LETALIS,169
ANEMIA FERROPENICA,168
CARDIOPATIA ISQUEMICA,166
INFECCION DEL TRACTO URINARIO,166
CARDIOPATÍA ISQUÉMICA,164
SE MANTIENEN LOS PREVIOS.,162
IRC,160
ERC REAGUDIZADA,156
INSUFICIENCIA RENAL CRÓNICA AGUDIZADA,155
INSUFICIENCIA RESPIRATORIA AGUDA SECUNDARIA,154
PARADA CARDIORRESPIRATORIA,151
FA,150
