iter	Passed	Remaining
0	2	515
1	4	484
2	7	516
3	9	489
4	12	475
5	14	463
6	16	453
7	18	437
8	20	431
9	21	409
10	23	407
11	25	401
12	27	401
13	30	409
14	33	409
15	40	471
16	43	470
17	46	470
18	48	464
19	51	460
20	53	454
21	55	448
22	59	459
23	62	455
24	64	449
25	66	444
26	69	442
27	71	439
28	73	435
29	76	430
30	78	426
31	79	418
32	82	418
33	84	414
34	87	410
35	90	412
36	93	409
37	94	404
38	97	401
39	99	398
40	101	395
41	104	393
42	107	392
43	109	388
44	111	385
45	114	382
46	116	379
47	119	377
48	121	374
49	123	370
50	125	367
51	128	366
52	131	364
53	133	360
54	135	357
55	138	355
56	141	353
57	143	351
58	145	348
59	148	345
60	150	343
61	153	340
62	155	337
63	157	334
64	160	333
65	163	331
66	166	329
67	168	326
68	171	325
69	174	323
70	178	323
71	180	320
72	182	318
73	185	315
74	187	312
75	189	309
76	192	306
77	194	303
78	196	300
79	198	298
80	201	296
81	203	293
82	206	290
83	208	287
84	211	285
85	216	286
86	218	283
87	221	282
88	224	279
89	228	279
90	231	277
91	234	274
92	240	276
93	248	280
94	256	283
95	263	285
96	268	284
97	272	283
98	280	286
99	290	290
100	300	294
101	306	294
102	314	295
103	320	295
104	328	297
105	340	302
106	347	302
107	359	305
108	364	304
109	373	305
110	375	301
111	377	296
112	379	292
113	383	289
114	385	285
115	388	281
116	390	277
117	392	273
118	395	269
119	397	265
120	400	261
121	403	257
122	405	253
123	408	250
124	411	246
125	413	243
126	416	239
127	418	235
128	421	232
129	424	228
130	428	225
131	430	221
132	432	218
133	435	214
134	438	210
135	441	207
136	443	204
137	446	200
138	448	196
139	451	193
140	454	190
141	456	186
142	459	183
143	461	179
144	464	176
145	466	172
146	469	169
147	472	166
148	475	162
149	478	159
150	480	155
151	483	152
152	485	149
153	488	145
154	491	142
155	493	139
156	496	135
157	498	132
158	501	129
159	506	126
160	508	123
161	511	120
162	514	116
163	516	113
164	520	110
165	522	106
166	526	103
167	528	100
168	530	97
169	533	94
170	535	90
171	538	87
172	541	84
173	543	81
174	546	78
175	548	74
176	551	71
177	553	68
178	556	65
179	559	62
180	561	58
181	565	55
182	569	52
183	572	49
184	575	46
185	577	43
186	580	40
187	583	37
188	586	34
189	588	30
190	591	27
191	594	24
192	596	21
193	599	18
194	602	15
195	604	12
196	607	9
197	610	6
198	613	3
199	616	0
