iter	Passed	Remaining
0	2	441
1	7	695
2	9	622
3	11	568
4	14	551
5	17	570
6	19	547
7	22	543
8	25	544
9	28	550
10	32	558
11	36	579
12	40	587
13	43	577
14	45	563
15	47	549
16	50	543
17	52	532
18	55	526
19	58	525
20	61	521
21	63	515
22	65	506
23	67	498
24	70	490
25	72	483
26	74	476
27	76	469
28	79	467
29	81	464
30	84	458
31	86	452
32	88	446
33	90	441
34	93	440
35	96	439
36	98	435
37	100	430
38	102	425
39	104	418
40	106	413
41	108	409
42	110	404
43	112	400
44	114	395
45	117	392
46	119	389
47	121	385
48	128	395
49	130	392
50	132	388
51	135	384
52	137	380
53	139	376
54	141	372
55	143	369
56	145	366
57	148	362
58	150	358
59	152	354
60	154	351
61	159	354
62	162	353
63	164	349
64	167	347
65	169	343
66	171	339
67	173	336
68	175	332
69	177	329
70	179	326
71	181	322
72	183	319
73	186	317
74	189	315
75	192	313
76	194	310
77	197	309
78	199	305
79	202	304
80	204	300
81	207	298
82	209	294
83	223	308
84	225	305
85	228	302
86	231	300
87	233	297
88	235	294
89	238	291
90	241	288
91	242	285
92	245	282
93	247	279
94	250	276
95	252	273
96	254	270
97	257	267
98	259	265
99	263	263
100	264	259
101	267	257
102	270	254
103	272	251
104	274	248
105	277	245
106	278	242
107	281	239
108	283	236
109	285	233
110	287	230
111	289	227
112	291	224
113	293	221
114	295	218
115	297	215
116	299	212
117	301	209
118	302	206
119	304	203
120	306	200
121	308	197
122	309	194
123	313	192
124	317	190
125	318	187
126	320	184
127	323	181
128	325	178
129	327	176
130	328	173
131	330	170
132	332	167
133	334	164
134	336	161
135	338	159
136	340	156
137	342	153
138	344	151
139	346	148
140	348	145
141	350	143
142	351	140
143	353	137
144	355	134
145	358	132
146	359	129
147	361	127
148	363	124
149	365	121
150	367	119
151	369	116
152	371	114
153	373	111
154	375	108
155	377	106
156	379	103
157	380	101
158	382	98
159	384	96
160	386	93
161	388	91
162	389	88
163	391	86
164	393	83
165	396	81
166	398	78
167	400	76
168	402	73
169	404	71
170	406	68
171	408	66
172	410	64
173	412	61
174	414	59
175	416	56
176	418	54
177	420	51
178	422	49
179	424	47
180	426	44
181	428	42
182	431	40
183	432	37
184	434	35
185	436	32
186	438	30
187	440	28
188	445	25
189	447	23
190	451	21
191	457	19
192	472	17
193	479	14
194	484	12
195	488	9
196	495	7
197	501	5
198	508	2
199	513	0
